grid_id;organization_name;country_code;country;latitude;longitude;native_count;newcomer_count;outgoer_count;total_researcher_count;native_percentage;newcomer_percentage;outgoer_percentage;organization_type_id;organization_type
grid.252487.e;Assiut Univ.;EG;Egypt;271.882;311.696;1804;821;681;3306;54.568;24.834;20.599;3;Education
grid.4905.8;Rudjer Boskovic Inst.;HR;Croatia;458.297;159.885;653;453;421;1527;42.764;29.666;27.570;4;Facility
grid.418744.a;Inst.  Res. in Fundamental Sciences;IR;Iran;35.81;51.47;308;732;253;1293;23.821;56.613;19.567;4;Facility
grid.411544.1;Universitätsklinikum Tübingen;DE;Germany;486.222;89.391;674;3024;773;4471;15.075;67.636;17.289;6;Healthcare
grid.412301.5;Universitätsklinikum Aachen;DE;Germany;507.764;604.361;608;2092;724;3424;17.757;61.098;21.145;6;Healthcare
grid.6734.6;Technical Univ.  Berlin;DE;Germany;525.119;133.264;3555;2687;1598;7840;45.344;34.273;20.383;3;Education
grid.7727.5;Univ.  Regensburg;DE;Germany;49;120.922;2179;2714;1448;6341;34.364;42.801;22.836;3;Education
grid.8385.6;schungszentrum Jülich;DE;Germany;50.905;641.194;1991;2756;1261;6008;33.139;45.872;20.989;4;Facility
grid.9811.1;Univ.  Konstanz;DE;Germany;47.689;918.701;1509;1411;896;3816;39.544;36.976;23.480;3;Education
grid.419547.a;Max Planck Inst.  Polymer Res.;DE;Germany;499.894;822.972;424;837;316;1577;26.887;53.076;20.038;4;Facility
grid.4777.3;Queen's Univ. Belfast;GB;United Kingdom;545.846;-593.406;2662;3017;1624;7303;36.451;41.312;22.237;3;Education
grid.5214.2;Glasgow Caledonian Univ.;GB;United Kingdom;558.659;-424.991;518;477;224;1219;42.494;39.130;18.376;3;Education
grid.5335.0;Univ.  Cambridge;GB;United Kingdom;522.045;0.114908;8752;17548;7237;33537;26.097;52.324;21.579;3;Education
grid.8241.f;Univ.  Dundee;GB;United Kingdom;564.572;-298.028;1348;2737;1094;5179;26.028;52.848;21.124;3;Education
grid.8356.8;Univ.  Essex;GB;United Kingdom;518.779;0.947196;766;1125;544;2435;31.458;46.201;22.341;3;Education
grid.9759.2;Univ.  Kent;GB;United Kingdom;512.964;107.832;1076;1319;575;2970;36.229;44.411;19.360;3;Education
